ID,Classification_PSY1,Classification_PSY2,Classification_PSY3
140009,Negativo Fraco,Negativo Fraco,Positivo Fraco
140363,Neutro,Neutro,Neutro
140622,Positivo Fraco,Positivo Fraco,Positivo Fraco
140710,Neutro,Neutro,Positivo Fraco
141162,Neutro,Positivo Fraco,Positivo Fraco
141745,Positivo Fraco,Positivo Fraco,Positivo Fraco
142160,Positivo Fraco,Neutro,Positivo Fraco
142400,Negativo Fraco,Negativo Fraco,Positivo Fraco
142459,Positivo Fraco,Positivo Fraco,Positivo Fraco
142511,Positivo Fraco,Neutro,Positivo Fraco
142522,Positivo Fraco,Negativo Fraco,Negativo Fraco
142599,Positivo Forte,Positivo Fraco,Positivo Fraco
146672,Negativo Fraco,Negativo Fraco,Positivo Fraco
146941,Positivo Forte,Positivo Forte,Positivo Fraco
146957,Negativo Fraco,Neutro,Positivo Fraco
147248,Neutro,Neutro,Positivo Fraco
147361,Positivo Fraco,Positivo Fraco,Positivo Fraco
147540,Negativo Fraco,Negativo Fraco,Neutro
147950,Neutro,Neutro,Positivo Fraco
148849,Positivo Forte,Positivo Fraco,Positivo Fraco
149363,Positivo Fraco,Neutro,Positivo Forte
149391,Positivo Fraco,Positivo Fraco,Positivo Fraco
149545,Neutro,Negativo Fraco,Positivo Fraco
149819,Negativo Fraco,Negativo Fraco,Neutro
150153,Positivo Fraco,Neutro,Positivo Forte
150655,Negativo Fraco,Negativo Fraco,Neutro
150933,Positivo Fraco,Neutro,Neutro
151110,Positivo Forte,Positivo Forte,Positivo Fraco
151359,Positivo Forte,Neutro,Positivo Forte
151443,Positivo Fraco,Neutro,Positivo Fraco
151829,Positivo Fraco,Positivo Fraco,Positivo Fraco
151966,Positivo Fraco,Neutro,Positivo Fraco
152660,Positivo Fraco,Positivo Fraco,Neutro
152838,Positivo Forte,Positivo Fraco,Positivo Fraco
153219,Neutro,Neutro,Neutro
197052,Negativo Forte,Negativo Fraco,Negativo Fraco
197097,Negativo Fraco,Negativo Fraco,Neutro
198955,Neutro,Neutro,Neutro
200154,Positivo Forte,Negativo Fraco,Positivo Fraco
200645,Positivo Fraco,Positivo Fraco,Positivo Fraco
200879,Neutro,Positivo Fraco,Neutro
201677,Positivo Forte,Neutro,Positivo Fraco
201933,Negativo Forte,Negativo Forte,Negativo Fraco
202014,Positivo Forte,Neutro,Positivo Fraco
202680,Positivo Forte,Neutro,Positivo Fraco
202992,Negativo Fraco,Negativo Forte,Positivo Forte
203238,Neutro,Neutro,Neutro
203925,Positivo Fraco,Negativo Fraco,Positivo Fraco
204298,Negativo Fraco,Neutro,Negativo Fraco
204373,Positivo Fraco,Neutro,Positivo Fraco
204399,Positivo Fraco,Neutro,Positivo Fraco
207339,Negativo Fraco,Negativo Fraco,Negativo Fraco
207889,Positivo Forte,Positivo Fraco,Positivo Fraco
209540,Positivo Fraco,Positivo Fraco,Positivo Fraco
209598,Positivo Fraco,Negativo Fraco,Neutro
211601,Neutro,Neutro,Neutro
213854,Neutro,Positivo Fraco,Neutro
214182,Positivo Fraco,Negativo Fraco,Positivo Fraco
215839,Negativo Forte,Negativo Forte,Negativo Fraco
216317,Neutro,Neutro,Neutro
216626,Neutro,Neutro,Negativo Fraco
217878,Positivo Forte,Positivo Forte,Positivo Fraco
218252,Positivo Forte,Neutro,Positivo Fraco
219597,Negativo Forte,Negativo Fraco,Negativo Fraco
220001,Positivo Forte,Positivo Fraco,Positivo Fraco
221550,Neutro,Neutro,Positivo Fraco
221551,Positivo Forte,Positivo Forte,Positivo Fraco
221851,Neutro,Positivo Forte,Positivo Forte
222083,Negativo Fraco,Negativo Fraco,Negativo Fraco
223131,Negativo Fraco,Negativo Fraco,Negativo Fraco
224488,Negativo Fraco,Positivo Fraco,Positivo Fraco
224525,Positivo Forte,Neutro,Positivo Fraco
224535,Positivo Forte,Neutro,Positivo Fraco
224687,Positivo Fraco,Neutro,Positivo Fraco
225088,Negativo Fraco,Positivo Fraco,Positivo Fraco
225232,Neutro,Neutro,Positivo Fraco
225363,Positivo Fraco,Negativo Fraco,Neutro
225519,Positivo Fraco,Positivo Fraco,Positivo Fraco
225643,Positivo Fraco,Neutro,Positivo Fraco
225649,Positivo Fraco,Neutro,Positivo Fraco
226299,Neutro,Neutro,Neutro
226454,Negativo Fraco,Negativo Fraco,Positivo Fraco
226498,Positivo Fraco,Neutro,Positivo Fraco
226542,Neutro,Negativo Fraco,Neutro
227253,Positivo Forte,Neutro,Positivo Fraco
227630,Negativo Fraco,Negativo Fraco,Negativo Fraco
228043,Neutro,Negativo Fraco,Neutro
228168,Negativo Fraco,Negativo Fraco,Positivo Fraco
228277,Positivo Forte,Positivo Fraco,Positivo Fraco
228461,Neutro,Neutro,Neutro
228575,Neutro,Negativo Fraco,Neutro
228638,Negativo Forte,Negativo Fraco,Negativo Fraco
228751,Positivo Forte,Positivo Fraco,Positivo Fraco
228761,Positivo Forte,Positivo Fraco,Positivo Fraco
228830,Positivo Forte,Positivo Fraco,Positivo Fraco
229059,Positivo Fraco,Negativo Fraco,Positivo Fraco
229108,Neutro,Neutro,Neutro
229327,Positivo Fraco,Positivo Fraco,Positivo Fraco
229430,Negativo Forte,Negativo Fraco,Negativo Fraco
229565,Positivo Forte,Positivo Fraco,Positivo Forte
229638,Positivo Fraco,Neutro,Positivo Fraco
229722,Positivo Forte,Positivo Fraco,Positivo Fraco
229783,Positivo Forte,Positivo Fraco,Positivo Forte
229855,Positivo Fraco,Positivo Fraco,Positivo Fraco
229895,Negativo Fraco,Positivo Fraco,Positivo Forte
